date	uid	event	value	timestamp
2013-02-01	18443	install.	4	1359665227651
2013-02-01	38	visit	3	1359665214000
2013-02-01	18444	visit	5	1359665337030
2013-02-01	366	visit	7	1359665371452
2013-02-01	121	visit	1	1359665477000
2013-02-01	123	visit	9	1359665442257
2013-02-01	18325	visit	8	1359665652855
2013-02-01	121	visit	9	1359665170000
2013-02-01	18374	visit	6	1359665289000
2013-02-01	18446	uninstall.	1	1359665650223
2013-02-01	18246	visit	1	1359665514863
2013-02-01	123	visit	0	1359665311000
2013-02-01	18325	visit	4	1359665650525
2013-02-01	19	visit	6	1359665615039
2013-02-01	427	visit	7	1359665281000
2013-02-01	18189	install.	9	1359665502458
2013-02-01	123	visit	2	1359665424227
2013-02-01	18246	install.	5	1359665514604
2013-02-01	427	visit	6	1359665439000
2013-02-01	18325	install.	2	1359665650257
2013-02-01	18189	visit	6	1359665463227
2013-02-01	670	visit	2	1359654454000
2013-02-01	18180	visit	0	1359665953179
2013-02-01	4205	visit	6	1359665838291
2013-02-01	123	visit	9	1359665811000
2013-02-01	123	visit	8	1359665730000
2013-02-01	18367	visit	9	1359665868350
2013-02-01	18249	visit	0	1359665791908
2013-02-01	18115	visit	7	1359665934815
2013-02-01	18444	visit	5	1359665915567
2013-02-01	18448	visit	7	1359665854900
2009-01-01	751	visit	2	1230803252000
2013-02-01	427	visit	6	1359665627000
2013-02-01	18448	visit	8	1359665776287
2013-02-01	121	visit	1	1359656141000
2013-02-01	18253	visit	1	1359665778871
2013-02-01	18232	visit	6	1359666181284
2013-02-01	18232	visit	7	1359666180066
2013-02-01	18287	visit	4	1359666070000
2013-02-01	18431	visit	0	1359666222840
2013-02-01	123	visit	6	1359665983000
2013-02-01	18403	visit	0	1359666019788
2013-02-01	18214	visit	9	1359665739000
2013-02-01	121	visit	0	1359664966000
2013-02-01	427	visit	8	1359665852000
2013-02-01	18448	install.	0	1359666067627
2013-02-01	18452	install.	1	1359666329019
